Blattner	name
b4675	yoaJ
b0276	yagJ
b4098	phnJ
b0344	lacZ
b4008	gltV
b3103	yhaH
b2523	pepB
b2175	mepS
b3064	tsaD
b2570	rseC
b2801	fucP
b3871	bipA
b1507	hipA
b1710	btuE
b4506	ykgO
b2153	folE
b3218	insH-10
b2561	yfhH
b3703	rpmH
b0720	gltA
b0913	ycaI
b4622	ytcA
b4101	phnG
b1737	chbC
b0248	yafX
b4293	fecI
b1759	nudG
b1830	prc
b0327	yahM
b1678	ldtE
b1176	minC
b3819	rarD
b0115	aceF
b1625	cnu
b1968	hprS
b1454	yncG
b1812	pabB
b0361	insD-1
b3657	yicJ
b1276	acnA
b3524	yhjG
b0267	yagA
b3724	phoU
b3092	uxaC
b2348	argW
b1255	yciC
b2592	clpB
b0925	ldtD
b3740	rsmG
b2378	lpxP
b3132	kbaZ
b1194	ycgR
b1212	prmC
b2962	yggX
b1868	yecE
b1096	pabC
b4710	insB9
b0440	hupB
b3301	rplO
b1612	fumA
b3602	yibL
b4522	ymiA
b0399	phoB
b1618	uidR
b1576	ydfD
b1827	kdgR
b1347	rcbA
b3932	hslV
b4406	yaeP
b1113	ldtC
b3323	gspA
b2817	amiC
b3134	agaW
b1200	dhaK
b4603	rseX
b4373	rimI
b1196	ycgY
b1865	nudB
NIL	insEF-5
b4112	basS
b1941	fliI
b3886	yihY
b1307	pspD
b0384	psiF
b4324	uxuR
b1984	asnW
b2546	yphD
b0932	pepN
b0819	ldtB
b3146	rsmI
b0377	sbmA
b1578	insD-7
b3128	garD
b3525	pdeH
b3206	npr
b1445	ortT
b3529	pdeK
b3058	folB
b2982	insH-9
b4295	yjhU
b1343	dbpA
b3735	atpH
b4473	smf
b0056	yabP
b4094	phnN
b3567	xylG
b0150	fhuA
b3422	rtcR
b3647	ligB
b1192	ldcA
b4747	yneP
b0839	dacC
b0958	sulA
b1645	ydhK
b4084	alsK
b0315	pdeL
b0905	ycaO
b0876	ybjD
b0142	folK
b2394	insL-3
b3018	plsC
b3737	atpE
b3818	yigG
b2638	yfjU
b3453	ugpB
b0756	galM
b1231	tyrT
b0738	tolR
b3178	ftsH
b2553	glnB
b1435	rlhA
b1629	rsxC
b4118	melR
b1490	dosC
b2556	glrK
b2309	hisJ
b3293	yhdN
